GNOME	v1	5474	178/2124	8.38
KDE4	v2	35265	24/2124	1.12
NLLB	v1	30902595	0/2124	0
QED	v2.0a	3310	0/2124	0
Tanzil	v1	137534	0/2124	0
Tatoeba	v20190709	454	0/2124	0
Tatoeba	v2020-05-31	457	0/2124	0
Tatoeba	v2020-11-09	459	0/2124	0
Tatoeba	v2021-03-10	460	0/2124	0
Tatoeba	v2021-07-22	460	0/2124	0
Tatoeba	v2022-03-03	464	0/2124	0
Tatoeba	v2023-04-12	482	0/2124	0
Tatoeba	v2	232	0/2124	0
TED2020	v1	6166	0/2124	0
wikimedia	v20190628	71	0/2124	0
wikimedia	v20210402	5222	0/2124	0
wikimedia	v20230407	899002	1/2124	.04
