CCMatrix	v1	17411601	265/963	27.51
ELRC-3053-wikipedia_health	v1	963	963/963	100.00
ELRC-wikipedia_health	v1	963	963/963	100.00
GNOME	v1	2726	0/963	0
HPLT	v1	902828	134/963	13.91
KDE4	v2	139800	0/963	0
Mozilla-I10n	v1	24918	0/963	0
MultiHPLT	v1	902828	134/963	13.91
MultiParaCrawl	v7.1	927976	21/963	2.18
MultiParaCrawl	v8	5895657	73/963	7.58
MultiParaCrawl	v9b	1794691	50/963	5.19
MultiParaCrawl	v9	1794691	50/963	5.19
NeuLab-TedTalks	v1	12345	0/963	0
NLLB	v1	103035267	341/963	35.41
OpenSubtitles	v2012	636	0/963	0
OpenSubtitles	v2013	15	0/963	0
OpenSubtitles	v2016	206682	0/963	0
OpenSubtitles	v2018	256116	0/963	0
ParaCrawl	v7.1	927976	21/963	2.18
ParaCrawl	v8	5895657	73/963	7.58
ParaCrawl	v9	1794691	50/963	5.19
QED	v2.0a	38358	0/963	0
Tatoeba	v20190709	4486	0/963	0
Tatoeba	v2020-05-31	4504	0/963	0
Tatoeba	v2020-11-09	4626	0/963	0
Tatoeba	v2021-03-10	4739	0/963	0
Tatoeba	v2021-07-22	4752	0/963	0
Tatoeba	v2022-03-03	4753	0/963	0
Tatoeba	v2023-04-12	4824	0/963	0
Tatoeba	v2	3995	0/963	0
TED2020	v1	36413	0/963	0
Ubuntu	v14.10	45	0/963	0
WikiMatrix	v1	1961525	667/963	69.26
wikimedia	v20190628	2557	0/963	0
wikimedia	v20210402	250568	11/963	1.14
wikimedia	v20230407	399493	11/963	1.14
XLEnt	v1.1	1290862	0/963	0
XLEnt	v1.2	1290862	0/963	0
XLEnt	v1	1290862	0/963	0
