CCMatrix	v1	17388298	265/963	27.51
ELRC_2922	v1	963	963/963	100.00
ELRC-wikipedia_health	v1	963	963/963	100.00
GNOME	v1	2725	0/963	0
HPLT	v1	902721	134/963	13.91
KDE4	v2	139666	0/963	0
Mozilla-I10n	v1	24893	0/963	0
MultiHPLT	v1	902721	134/963	13.91
MultiParaCrawl	v7.1	927839	22/963	2.28
MultiParaCrawl	v8	5894806	73/963	7.58
MultiParaCrawl	v9b	1794516	50/963	5.19
MultiParaCrawl	v9	1794516	50/963	5.19
NeuLab-TedTalks	v1	12345	0/963	0
NLLB	v1	102801348	341/963	35.41
OpenSubtitles	v2012	636	0/963	0
OpenSubtitles	v2013	15	0/963	0
OpenSubtitles	v2016	206277	0/963	0
OpenSubtitles	v2018	255638	0/963	0
ParaCrawl	v7.1	927839	22/963	2.28
ParaCrawl	v8	5894806	73/963	7.58
ParaCrawl	v9	1794516	50/963	5.19
QED	v2.0a	38350	0/963	0
Tatoeba	v20190709	4486	0/963	0
Tatoeba	v2020-05-31	4503	0/963	0
Tatoeba	v2020-11-09	4625	0/963	0
Tatoeba	v2021-03-10	4738	0/963	0
Tatoeba	v2021-07-22	4751	0/963	0
Tatoeba	v2022-03-03	4752	0/963	0
Tatoeba	v2023-04-12	4823	0/963	0
Tatoeba	v2	3995	0/963	0
TED2020	v1	36411	0/963	0
Ubuntu	v14.10	45	0/963	0
WikiMatrix	v1	1961204	669/963	69.47
wikimedia	v20190628	2557	0/963	0
wikimedia	v20210402	250515	11/963	1.14
wikimedia	v20230407	399397	11/963	1.14
XLEnt	v1.1	1287090	0/963	0
XLEnt	v1.2	1287090	0/963	0
XLEnt	v1	1287090	0/963	0
