GNOME	v1	21474	9694/12627	76.77
KDE4	v2	136010	804/12627	6.36
Tatoeba	v20190709	5497	0/12627	0
Tatoeba	v2020-05-31	5576	0/12627	0
Tatoeba	v2020-11-09	5645	0/12627	0
Tatoeba	v2021-03-10	5662	0/12627	0
Tatoeba	v2021-07-22	5721	0/12627	0
Tatoeba	v2022-03-03	5745	0/12627	0
Tatoeba	v2023-04-12	5779	0/12627	0
Tatoeba	v2	4658	0/12627	0
WikiMatrix	v1	43402	0/12627	0
wikimedia	v20210402	3	0/12627	0
wikimedia	v20230407	328	0/12627	0
XLEnt	v1.1	71284	337/12627	2.66
XLEnt	v1.2	71284	337/12627	2.66
XLEnt	v1	71284	337/12627	2.66
