CCMatrix	v1	17388298	461/12345	3.73
ELRC_2922	v1	963	0/12345	0
ELRC-3053-wikipedia_health	v1	963	0/12345	0
ELRC-wikipedia_health	v1	963	0/12345	0
GNOME	v1	2725	0/12345	0
HPLT	v1	902721	241/12345	1.95
KDE4	v2	139666	3/12345	.02
Mozilla-I10n	v1	24893	9/12345	.07
MultiHPLT	v1	902721	241/12345	1.95
MultiParaCrawl	v7.1	927839	53/12345	.42
MultiParaCrawl	v8	5894806	550/12345	4.45
MultiParaCrawl	v9b	1794516	211/12345	1.70
MultiParaCrawl	v9	1794516	211/12345	1.70
NLLB	v1	102801348	1856/12345	15.03
OpenSubtitles	v2012	636	2/12345	.01
OpenSubtitles	v2013	15	0/12345	0
OpenSubtitles	v2016	206277	161/12345	1.30
OpenSubtitles	v2018	255638	174/12345	1.40
ParaCrawl	v7.1	927839	53/12345	.42
ParaCrawl	v8	5894806	550/12345	4.45
ParaCrawl	v9	1794516	211/12345	1.70
QED	v2.0a	38350	6175/12345	50.02
Tatoeba	v20190709	4486	10/12345	.08
Tatoeba	v2020-05-31	4503	11/12345	.08
Tatoeba	v2020-11-09	4625	11/12345	.08
Tatoeba	v2021-03-10	4738	11/12345	.08
Tatoeba	v2021-07-22	4751	11/12345	.08
Tatoeba	v2022-03-03	4752	11/12345	.08
Tatoeba	v2023-04-12	4823	11/12345	.08
Tatoeba	v2	3995	10/12345	.08
TED2020	v1	36411	10136/12345	82.10
Ubuntu	v14.10	45	0/12345	0
WikiMatrix	v1	1961204	9/12345	.07
wikimedia	v20190628	2557	1/12345	0
wikimedia	v20210402	250515	7/12345	.05
wikimedia	v20230407	399397	10/12345	.08
XLEnt	v1.1	1287090	9/12345	.07
XLEnt	v1.2	1287090	9/12345	.07
XLEnt	v1	1287090	9/12345	.07
