CCAligned	v1	563447	6/691	.86
NeuLab-TedTalks	v1	9744	0/691	0
QED	v2.0a	23116	0/691	0
Tatoeba	v20190709	336	0/691	0
Tatoeba	v2020-05-31	337	0/691	0
Tatoeba	v2020-11-09	363	0/691	0
Tatoeba	v2021-03-10	394	0/691	0
Tatoeba	v2021-07-22	439	0/691	0
Tatoeba	v2022-03-03	440	0/691	0
Tatoeba	v2	226	0/691	0
TED2020	v1	24255	0/691	0
Ubuntu	v14.10	240	216/691	31.25
wikimedia	v20190628	1041	0/691	0
wikimedia	v20210402	3015	0/691	0
XLEnt	v1.1	89047	3/691	.43
XLEnt	v1.2	89047	3/691	.43
XLEnt	v1	89047	3/691	.43
