CCMatrix	v1	17388298	70/2725	2.56
ELRC_2922	v1	963	0/2725	0
ELRC-3053-wikipedia_health	v1	963	0/2725	0
ELRC-wikipedia_health	v1	963	0/2725	0
HPLT	v1	902721	64/2725	2.34
KDE4	v2	139666	261/2725	9.57
Mozilla-I10n	v1	24893	170/2725	6.23
MultiHPLT	v1	902721	64/2725	2.34
MultiParaCrawl	v7.1	927839	48/2725	1.76
MultiParaCrawl	v8	5894806	97/2725	3.55
MultiParaCrawl	v9b	1794516	65/2725	2.38
MultiParaCrawl	v9	1794516	65/2725	2.38
NeuLab-TedTalks	v1	12345	0/2725	0
NLLB	v1	102801348	120/2725	4.40
OpenSubtitles	v2012	636	0/2725	0
OpenSubtitles	v2013	15	0/2725	0
OpenSubtitles	v2016	206277	11/2725	.40
OpenSubtitles	v2018	255638	12/2725	.44
ParaCrawl	v7.1	927839	48/2725	1.76
ParaCrawl	v8	5894806	97/2725	3.55
ParaCrawl	v9	1794516	65/2725	2.38
QED	v2.0a	38350	4/2725	.14
Tatoeba	v20190709	4486	0/2725	0
Tatoeba	v2020-05-31	4503	0/2725	0
Tatoeba	v2020-11-09	4625	0/2725	0
Tatoeba	v2021-03-10	4738	0/2725	0
Tatoeba	v2021-07-22	4751	0/2725	0
Tatoeba	v2022-03-03	4752	0/2725	0
Tatoeba	v2023-04-12	4823	0/2725	0
Tatoeba	v2	3995	0/2725	0
TED2020	v1	36411	0/2725	0
Ubuntu	v14.10	45	1/2725	.03
WikiMatrix	v1	1961204	6/2725	.22
wikimedia	v20190628	2557	1/2725	.03
wikimedia	v20210402	250515	13/2725	.47
wikimedia	v20230407	399397	26/2725	.95
XLEnt	v1.1	1287090	147/2725	5.39
XLEnt	v1.2	1287090	147/2725	5.39
XLEnt	v1	1287090	147/2725	5.39
