GNOME	v1	1002	112/661	16.94
NLLB	v1	2844642	0/661	0
QED	v2.0a	52	0/661	0
Tatoeba	v20190709	278	0/661	0
Tatoeba	v2020-05-31	294	0/661	0
Tatoeba	v2020-11-09	295	0/661	0
Tatoeba	v2021-03-10	295	0/661	0
Tatoeba	v2021-07-22	295	0/661	0
Tatoeba	v2022-03-03	295	0/661	0
Tatoeba	v2023-04-12	295	0/661	0
Tatoeba	v2	102	0/661	0
WikiMatrix	v1	32318	0/661	0
wikimedia	v20190628	10	0/661	0
wikimedia	v20210402	36	0/661	0
wikimedia	v20230407	115	0/661	0
XLEnt	v1.1	34815	0/661	0
XLEnt	v1.2	34815	0/661	0
XLEnt	v1	34815	0/661	0
