CCAligned	v1	835069	175/20783	.84
EUbookshop	v2	2855	4/20783	.01
GNOME	v1	42889	14536/20783	69.94
KDE4	v2	61505	1005/20783	4.83
QED	v2.0a	18278	0/20783	0
Tatoeba	v20190709	713	0/20783	0
Tatoeba	v2020-05-31	818	0/20783	0
Tatoeba	v2020-11-09	838	0/20783	0
Tatoeba	v2021-03-10	838	0/20783	0
Tatoeba	v2021-07-22	838	0/20783	0
Tatoeba	v2022-03-03	989	0/20783	0
Tatoeba	v2	314	0/20783	0
wikimedia	v20210402	36468	40/20783	.19
XLEnt	v1.1	214170	804/20783	3.86
XLEnt	v1.2	214170	804/20783	3.86
XLEnt	v1	214170	804/20783	3.86
