bible-uedin	v1	60002	1/1104952	0
GNOME	v1	123	0/1104952	0
QED	v2.0a	4029	0/1104952	0
Tatoeba	v20190709	22906	25/1104952	0
Tatoeba	v2020-05-31	23680	25/1104952	0
Tatoeba	v2020-11-09	24007	25/1104952	0
Tatoeba	v2021-03-10	24137	25/1104952	0
Tatoeba	v2021-07-22	24314	25/1104952	0
Tatoeba	v2022-03-03	24484	25/1104952	0
Tatoeba	v2023-04-12	25837	25/1104952	0
Tatoeba	v2	6970	13/1104952	0
TED2020	v1	21	0/1104952	0
Ubuntu	v14.10	569	0/1104952	0
WikiMatrix	v1	32281	404/1104952	.03
wikimedia	v20190628	1173	0/1104952	0
wikimedia	v20210402	1476	0/1104952	0
wikimedia	v20230407	3061	0/1104952	0
XLEnt	v1.1	196295	110/1104952	0
XLEnt	v1.2	196295	110/1104952	0
XLEnt	v1	196295	110/1104952	0
