CCMatrix	v1	270600	175/491433	.03
MultiCCAligned	v1	491440	491433/491433	100.00
NLLB	v1	11736529	6209/491433	1.26
Tatoeba	v20190709	26	0/491433	0
Tatoeba	v2020-05-31	26	0/491433	0
Tatoeba	v2020-11-09	27	1/491433	0
Tatoeba	v2021-03-10	27	1/491433	0
Tatoeba	v2021-07-22	27	1/491433	0
Tatoeba	v2022-03-03	27	1/491433	0
Tatoeba	v2023-04-12	27	1/491433	0
wikimedia	v20190628	453	0/491433	0
wikimedia	v20210402	2260	1/491433	0
wikimedia	v20230407	2621	1/491433	0
XLEnt	v1.1	139933	375/491433	.07
XLEnt	v1.2	139933	375/491433	.07
XLEnt	v1	139933	375/491433	.07
