CCAligned	v1	378824	39/343853	.01
CCMatrix	v1	1721265	47489/343853	13.81
GlobalVoices	v2015	201175	199269/343853	57.95
GlobalVoices	v2017q3	277873	275916/343853	80.24
GNOME	v1	19038	37/343853	.01
Tatoeba	v20190709	51	1/343853	0
Tatoeba	v2020-05-31	51	1/343853	0
Tatoeba	v2020-11-09	52	2/343853	0
Tatoeba	v2021-03-10	52	2/343853	0
Tatoeba	v2021-07-22	52	2/343853	0
Tatoeba	v2022-03-03	52	2/343853	0
Tatoeba	v2	19	1/343853	0
TED2020	v1	366	1/343853	0
Ubuntu	v14.10	8445	26/343853	0
WikiMatrix	v1	13960	3/343853	0
wikimedia	v20210402	482	1/343853	0
XLEnt	v1.1	310769	164/343853	.04
XLEnt	v1.2	310769	164/343853	.04
XLEnt	v1	310769	164/343853	.04
