CCAligned	v1	378824	26/201175	.01
CCMatrix	v1	1721265	21975/201175	10.92
GlobalVoices	v2017q3	277873	200043/201175	99.43
GlobalVoices	v2018q4	343853	199269/201175	99.05
GNOME	v1	19038	31/201175	.01
Tatoeba	v20190709	51	1/201175	0
Tatoeba	v2020-05-31	51	1/201175	0
Tatoeba	v2020-11-09	52	1/201175	0
Tatoeba	v2021-03-10	52	1/201175	0
Tatoeba	v2021-07-22	52	1/201175	0
Tatoeba	v2022-03-03	52	1/201175	0
Tatoeba	v2	19	0/201175	0
TED2020	v1	366	0/201175	0
Ubuntu	v14.10	8445	22/201175	.01
WikiMatrix	v1	13960	2/201175	0
wikimedia	v20210402	482	0/201175	0
XLEnt	v1.1	310769	123/201175	.06
XLEnt	v1.2	310769	123/201175	.06
XLEnt	v1	310769	123/201175	.06
