CCAligned	v1	378824	31/277873	.01
CCMatrix	v1	1721265	36515/277873	13.14
GlobalVoices	v2015	201175	200043/277873	71.99
GlobalVoices	v2018q4	343853	275916/277873	99.29
GNOME	v1	19038	35/277873	.01
Tatoeba	v20190709	51	1/277873	0
Tatoeba	v2020-05-31	51	1/277873	0
Tatoeba	v2020-11-09	52	1/277873	0
Tatoeba	v2021-03-10	52	1/277873	0
Tatoeba	v2021-07-22	52	1/277873	0
Tatoeba	v2022-03-03	52	1/277873	0
Tatoeba	v2	19	0/277873	0
TED2020	v1	366	0/277873	0
Ubuntu	v14.10	8445	24/277873	0
WikiMatrix	v1	13960	2/277873	0
wikimedia	v20210402	482	0/277873	0
XLEnt	v1.1	310769	144/277873	.05
XLEnt	v1.2	310769	144/277873	.05
XLEnt	v1	310769	144/277873	.05
