CCAligned	v1	491433	491433/491440	99.99
CCMatrix	v1	270600	175/491440	.03
NLLB	v1	11736529	6209/491440	1.26
Tatoeba	v20190709	26	0/491440	0
Tatoeba	v2020-05-31	26	0/491440	0
Tatoeba	v2020-11-09	27	1/491440	0
Tatoeba	v2021-03-10	27	1/491440	0
Tatoeba	v2021-07-22	27	1/491440	0
Tatoeba	v2022-03-03	27	1/491440	0
Tatoeba	v2023-04-12	27	1/491440	0
wikimedia	v20190628	453	0/491440	0
wikimedia	v20210402	2260	1/491440	0
wikimedia	v20230407	2621	1/491440	0
XLEnt	v1.1	139933	375/491440	.07
XLEnt	v1.2	139933	375/491440	.07
XLEnt	v1	139933	375/491440	.07
