GNOME	v1	730	282/3684	7.65
QED	v2.0a	586	0/3684	0
Tanzil	v1	121603	0/3684	0
Tatoeba	v20190709	1414	0/3684	0
Tatoeba	v2020-05-31	1451	0/3684	0
Tatoeba	v2020-11-09	1454	0/3684	0
Tatoeba	v2021-03-10	1455	0/3684	0
Tatoeba	v2021-07-22	1456	0/3684	0
Tatoeba	v2022-03-03	1456	0/3684	0
Tatoeba	v2	362	0/3684	0
TED2020	v1	264	0/3684	0
WikiMatrix	v1	32154	0/3684	0
wikimedia	v20190628	203	1/3684	.02
wikimedia	v20210402	587	1/3684	.02
XLEnt	v1.1	33211	0/3684	0
XLEnt	v1.2	33211	0/3684	0
XLEnt	v1	33211	0/3684	0
