CCMatrix	v1	960319	1/61548	0
NLLB	v1	14673343	1709/61548	2.77
QED	v2.0a	514	0/61548	0
Tatoeba	v20190709	372	0/61548	0
Tatoeba	v2020-05-31	377	0/61548	0
Tatoeba	v2020-11-09	378	0/61548	0
Tatoeba	v2021-03-10	378	0/61548	0
Tatoeba	v2021-07-22	378	0/61548	0
Tatoeba	v2022-03-03	379	0/61548	0
Tatoeba	v2023-04-12	424	0/61548	0
TED2020	v1	99	0/61548	0
Ubuntu	v14.10	254	0/61548	0
WikiMatrix	v1	29062	0/61548	0
wikimedia	v20210402	2735	0/61548	0
wikimedia	v20230407	2983	0/61548	0
XLEnt	v1.1	205430	0/61548	0
XLEnt	v1.2	205430	0/61548	0
XLEnt	v1	205430	0/61548	0
