CCMatrix	v1	274338	72/116443	.06
GNOME	v1	6733	0/116443	0
QED	v2.0a	1638	0/116443	0
Tatoeba	v20190709	1081	0/116443	0
Tatoeba	v2020-05-31	2165	0/116443	0
Tatoeba	v2020-11-09	2865	1/116443	0
Tatoeba	v2021-03-10	3587	1/116443	0
Tatoeba	v2021-07-22	4385	1/116443	0
Tatoeba	v2022-03-03	5163	1/116443	0
Tatoeba	v2	193	0/116443	0
Ubuntu	v14.10	3325	0/116443	0
wikimedia	v20190628	574	0/116443	0
wikimedia	v20210402	847	1/116443	0
XLEnt	v1.1	116443	116443/116443	100.00
XLEnt	v1.2	116443	116443/116443	100.00
