CCMatrix	v1	17411601	456/12345	3.69
ELRC_2922	v1	963	0/12345	0
ELRC-3053-wikipedia_health	v1	963	0/12345	0
ELRC-wikipedia_health	v1	963	0/12345	0
GNOME	v1	2726	0/12345	0
HPLT	v1	902828	239/12345	1.93
KDE4	v2	139800	3/12345	.02
Mozilla-I10n	v1	24918	9/12345	.07
MultiHPLT	v1	902828	239/12345	1.93
MultiParaCrawl	v7.1	927976	47/12345	.38
MultiParaCrawl	v8	5895657	546/12345	4.42
MultiParaCrawl	v9b	1794691	208/12345	1.68
MultiParaCrawl	v9	1794691	208/12345	1.68
NLLB	v1	103035267	1848/12345	14.96
OpenSubtitles	v2012	636	2/12345	.01
OpenSubtitles	v2013	15	0/12345	0
OpenSubtitles	v2016	206682	161/12345	1.30
OpenSubtitles	v2018	256116	174/12345	1.40
ParaCrawl	v7.1	927976	47/12345	.38
ParaCrawl	v8	5895657	546/12345	4.42
ParaCrawl	v9	1794691	208/12345	1.68
QED	v2.0a	38358	6142/12345	49.75
Tatoeba	v20190709	4486	10/12345	.08
Tatoeba	v2020-05-31	4504	11/12345	.08
Tatoeba	v2020-11-09	4626	11/12345	.08
Tatoeba	v2021-03-10	4739	11/12345	.08
Tatoeba	v2021-07-22	4752	11/12345	.08
Tatoeba	v2022-03-03	4753	11/12345	.08
Tatoeba	v2023-04-12	4824	11/12345	.08
Tatoeba	v2	3995	10/12345	.08
TED2020	v1	36413	10002/12345	81.02
Ubuntu	v14.10	45	0/12345	0
WikiMatrix	v1	1961525	9/12345	.07
wikimedia	v20190628	2557	1/12345	0
wikimedia	v20210402	250568	7/12345	.05
wikimedia	v20230407	399493	10/12345	.08
XLEnt	v1.1	1290862	8/12345	.06
XLEnt	v1.2	1290862	8/12345	.06
XLEnt	v1	1290862	8/12345	.06
