CCAligned	v1	835069	201/61505	.32
EUbookshop	v2	2855	4/61505	0
GNOME	v1	42889	1193/61505	1.93
QED	v2.0a	18278	1/61505	0
Tatoeba	v20190709	713	0/61505	0
Tatoeba	v2020-05-31	818	0/61505	0
Tatoeba	v2020-11-09	838	0/61505	0
Tatoeba	v2021-03-10	838	0/61505	0
Tatoeba	v2021-07-22	838	0/61505	0
Tatoeba	v2022-03-03	989	0/61505	0
Tatoeba	v2	314	0/61505	0
Ubuntu	v14.10	20783	1005/61505	1.63
wikimedia	v20210402	36468	43/61505	.06
XLEnt	v1.1	214170	364/61505	.59
XLEnt	v1.2	214170	364/61505	.59
XLEnt	v1	214170	364/61505	.59
