CCMatrix	v1	817304	8/1503562	0
MultiCCAligned	v1	1503590	1503562/1503562	100.00
NLLB	v1	16883712	561/1503562	.03
QED	v2.0a	378	0/1503562	0
Tatoeba	v20190709	259	0/1503562	0
Tatoeba	v2020-05-31	259	0/1503562	0
Tatoeba	v2020-11-09	262	1/1503562	0
Tatoeba	v2021-03-10	263	1/1503562	0
Tatoeba	v2021-07-22	266	1/1503562	0
Tatoeba	v2022-03-03	266	1/1503562	0
Tatoeba	v2023-04-12	272	1/1503562	0
Ubuntu	v14.10	3041	2/1503562	0
WikiMatrix	v1	13049	1/1503562	0
wikimedia	v20210402	25215	9/1503562	0
wikimedia	v20230407	29600	9/1503562	0
XLEnt	v1.1	232880	1538/1503562	.10
XLEnt	v1.2	232880	1538/1503562	.10
XLEnt	v1	232880	1538/1503562	.10
