CCAligned	v1	378824	45/19038	.23
CCMatrix	v1	1721265	0/19038	0
GlobalVoices	v2015	201175	31/19038	.16
GlobalVoices	v2017q3	277873	35/19038	.18
GlobalVoices	v2018q4	343853	37/19038	.19
Tatoeba	v20190709	51	0/19038	0
Tatoeba	v2020-05-31	51	0/19038	0
Tatoeba	v2020-11-09	52	0/19038	0
Tatoeba	v2021-03-10	52	0/19038	0
Tatoeba	v2021-07-22	52	0/19038	0
Tatoeba	v2022-03-03	52	0/19038	0
Tatoeba	v2	19	0/19038	0
TED2020	v1	366	0/19038	0
Ubuntu	v14.10	8445	6500/19038	34.14
WikiMatrix	v1	13960	1/19038	0
wikimedia	v20210402	482	0/19038	0
XLEnt	v1.1	310769	887/19038	4.65
XLEnt	v1.2	310769	887/19038	4.65
XLEnt	v1	310769	887/19038	4.65
