bible-uedin	v1	60440	68/57836	.11
CCAligned	v1	345209	3003/57836	5.19
GlobalVoices	v2015	1196	0/57836	0
GlobalVoices	v2017q3	1594	0/57836	0
GlobalVoices	v2018q4	1718	1/57836	0
GNOME	v1	11791	0/57836	0
GoURMET	v1	57836	57836/57836	100.00
MultiCCAligned	v1	345215	3003/57836	5.19
NLLB	v1	15462695	2234/57836	3.86
Tanzil	v1	92286	0/57836	0
Tatoeba	v20190709	189	0/57836	0
Tatoeba	v2020-05-31	190	0/57836	0
Tatoeba	v2020-11-09	200	1/57836	0
Tatoeba	v2021-03-10	200	1/57836	0
Tatoeba	v2021-07-22	200	1/57836	0
Tatoeba	v2022-03-03	200	1/57836	0
Tatoeba	v2023-04-12	201	1/57836	0
TED2020	v1	1018	1/57836	0
Ubuntu	v14.10	3703	0/57836	0
wikimedia	v20190628	286	0/57836	0
wikimedia	v20210402	482	1/57836	0
wikimedia	v20230407	934	1/57836	0
XLEnt	v1.1	69037	1/57836	0
XLEnt	v1.2	69037	1/57836	0
XLEnt	v1	69037	1/57836	0
