CCAligned	v1	378824	8724/1721265	.50
GlobalVoices	v2015	201175	21975/1721265	1.27
GlobalVoices	v2017q3	277873	36515/1721265	2.12
GlobalVoices	v2018q4	343853	47489/1721265	2.75
GNOME	v1	19038	0/1721265	0
Tatoeba	v20190709	51	0/1721265	0
Tatoeba	v2020-05-31	51	0/1721265	0
Tatoeba	v2020-11-09	52	0/1721265	0
Tatoeba	v2021-03-10	52	0/1721265	0
Tatoeba	v2021-07-22	52	0/1721265	0
Tatoeba	v2022-03-03	52	0/1721265	0
Tatoeba	v2	19	0/1721265	0
TED2020	v1	366	1/1721265	0
Ubuntu	v14.10	8445	0/1721265	0
WikiMatrix	v1	13960	876/1721265	.05
wikimedia	v20210402	482	26/1721265	0
XLEnt	v1.1	310769	10/1721265	0
XLEnt	v1.2	310769	10/1721265	0
XLEnt	v1	310769	10/1721265	0
