CCAligned	v1	114274	114274/114276	99.99
CCMatrix	v1	453011	1/114276	0
GNOME	v1	8788	17/114276	.01
KDE4	v2	64131	12/114276	.01
OpenSubtitles	v2016	17693	0/114276	0
OpenSubtitles	v2018	17778	0/114276	0
QED	v2.0a	99	0/114276	0
Tatoeba	v20190709	379	0/114276	0
Tatoeba	v2020-05-31	382	0/114276	0
Tatoeba	v2020-11-09	383	1/114276	0
Tatoeba	v2021-03-10	383	1/114276	0
Tatoeba	v2021-07-22	383	1/114276	0
Tatoeba	v2022-03-03	385	1/114276	0
Tatoeba	v2023-04-12	385	1/114276	0
Tatoeba	v2	98	0/114276	0
Ubuntu	v14.10	24850	17/114276	.01
WikiMatrix	v1	16903	1/114276	0
wikimedia	v20190628	209	1/114276	0
wikimedia	v20210402	151	2/114276	0
wikimedia	v20230407	2384	5/114276	0
XLEnt	v1.1	107767	7/114276	0
XLEnt	v1.2	107767	7/114276	0
XLEnt	v1	107767	7/114276	0
