KDE4	v2	136010	991/21474	4.61
Tatoeba	v20190709	5497	0/21474	0
Tatoeba	v2020-05-31	5576	0/21474	0
Tatoeba	v2020-11-09	5645	0/21474	0
Tatoeba	v2021-03-10	5662	0/21474	0
Tatoeba	v2021-07-22	5721	0/21474	0
Tatoeba	v2022-03-03	5745	0/21474	0
Tatoeba	v2023-04-12	5779	0/21474	0
Tatoeba	v2	4658	0/21474	0
Ubuntu	v14.10	12627	9694/21474	45.14
WikiMatrix	v1	43402	0/21474	0
wikimedia	v20210402	3	0/21474	0
wikimedia	v20230407	328	0/21474	0
XLEnt	v1.1	71284	373/21474	1.73
XLEnt	v1.2	71284	373/21474	1.73
XLEnt	v1	71284	373/21474	1.73
