CCAligned	v1	410132	5/1059	.47
GlobalVoices	v2015	787	0/1059	0
GlobalVoices	v2017q3	787	0/1059	0
GlobalVoices	v2018q4	790	1/1059	.09
GNOME	v1	56	0/1059	0
KDE4	v2	105312	0/1059	0
ParaCrawl	v9	62782	1/1059	.09
QED	v2.0a	1101	0/1059	0
Tatoeba	v20190709	748	0/1059	0
Tatoeba	v2020-05-31	752	0/1059	0
Tatoeba	v2020-11-09	753	1/1059	.09
Tatoeba	v2021-03-10	753	1/1059	.09
Tatoeba	v2021-07-22	753	1/1059	.09
Tatoeba	v2022-03-03	753	1/1059	.09
Tatoeba	v2	121	0/1059	0
tico-19	v2020-10-28	3070	0/1059	0
Ubuntu	v14.10	6976	0/1059	0
wikimedia	v20190628	924	0/1059	0
wikimedia	v20210402	778	1/1059	.09
XLEnt	v1.1	76953	1/1059	.09
XLEnt	v1.2	76953	1/1059	.09
XLEnt	v1	76953	1/1059	.09
