KDE4	v2	35265	261/5474	4.76
NLLB	v1	30902595	13/5474	.23
QED	v2.0a	3310	0/5474	0
Tanzil	v1	137534	0/5474	0
Tatoeba	v20190709	454	0/5474	0
Tatoeba	v2020-05-31	457	0/5474	0
Tatoeba	v2020-11-09	459	0/5474	0
Tatoeba	v2021-03-10	460	0/5474	0
Tatoeba	v2021-07-22	460	0/5474	0
Tatoeba	v2022-03-03	464	0/5474	0
Tatoeba	v2023-04-12	482	0/5474	0
Tatoeba	v2	232	0/5474	0
TED2020	v1	6166	0/5474	0
Ubuntu	v14.10	2124	178/5474	3.25
wikimedia	v20190628	71	0/5474	0
wikimedia	v20210402	5222	1/5474	.01
wikimedia	v20230407	899002	23/5474	.42
