CCMatrix	v1	1367028	26/263521	0
GNOME	v1	2149	12/263521	0
KDE4	v2	42660	200/263521	.07
Tatoeba	v20190709	191	0/263521	0
Tatoeba	v2020-05-31	204	0/263521	0
Tatoeba	v2020-11-09	207	1/263521	0
Tatoeba	v2021-03-10	218	1/263521	0
Tatoeba	v2021-07-22	223	1/263521	0
Tatoeba	v2022-03-03	223	1/263521	0
Tatoeba	v2	112	0/263521	0
Ubuntu	v14.10	5537	45/263521	.01
WikiMatrix	v1	32250	1/263521	0
wikimedia	v20190628	27	0/263521	0
wikimedia	v20210402	128	1/263521	0
XLEnt	v1.1	263521	263521/263521	100.00
XLEnt	v1	263521	263521/263521	100.00
