CCAligned	v1	114274	17/8788	.19
CCMatrix	v1	453011	0/8788	0
KDE4	v2	64131	351/8788	3.99
OpenSubtitles	v2018	17778	0/8788	0
QED	v2.0a	99	0/8788	0
Tatoeba	v20190709	379	0/8788	0
Tatoeba	v2020-05-31	382	0/8788	0
Tatoeba	v2020-11-09	383	0/8788	0
Tatoeba	v2021-03-10	383	0/8788	0
Tatoeba	v2021-07-22	383	0/8788	0
Tatoeba	v2022-03-03	385	0/8788	0
Tatoeba	v2	98	0/8788	0
Ubuntu	v14.10	24850	3494/8788	39.75
WikiMatrix	v1	16903	0/8788	0
wikimedia	v20190628	209	2/8788	.02
wikimedia	v20210402	151	2/8788	.02
XLEnt	v1.1	107767	151/8788	1.71
XLEnt	v1.2	107767	151/8788	1.71
XLEnt	v1	107767	151/8788	1.71
