CCMatrix	v1	2933230	5/654450	0
GNOME	v1	11902	57/654450	0
KDE4	v2	24472	198/654450	.03
QED	v2.0a	436	0/654450	0
Tatoeba	v20190709	99	0/654450	0
Tatoeba	v2020-05-31	99	0/654450	0
Tatoeba	v2020-11-09	100	1/654450	0
Tatoeba	v2021-03-10	108	1/654450	0
Tatoeba	v2021-07-22	108	1/654450	0
Tatoeba	v2022-03-03	108	1/654450	0
Tatoeba	v2	17	0/654450	0
TED2020	v1	115	1/654450	0
Ubuntu	v14.10	8066	43/654450	0
wikimedia	v20190628	184	0/654450	0
wikimedia	v20210402	518	1/654450	0
XLEnt	v1.1	654450	654450/654450	100.00
XLEnt	v1	654450	654450/654450	100.00
